episode,time,theta1,theta2,omega1,omega2,kinetic_energy,potential_energy
0,8.945999999999657,10.2194257570401,10.541025853026866,5.016475034961181,1.6936415217657166,14.016721690318839,0.0
0,8.947999999999658,10.229411150927707,10.544547955233364,4.968654633377866,1.8283598454182504,14.01521429506259,0.0
0,8.949999999999658,10.239299320843847,10.548338886031132,4.919252228205965,1.962468658629558,14.025162860406326,0.0
0,8.951999999999659,10.249087110363567,10.55239741809445,4.868275697134472,2.095959869599805,14.046578019141478,0.0
0,8.95399999999966,10.258771380577905,10.556722309209567,4.815734672147502,2.22882669067199,14.079484424787731,0.0
0,8.95599999999966,10.268349013562988,10.561312304933837,4.761640499240483,2.361063688887615,14.123920993495371,0.0
0,8.957999999999661,10.277816915763816,10.566166141354179,4.706006193395549,2.492666834741103,14.179941120647747,0.0
0,8.959999999999662,10.287172021283299,10.571282547941223,4.648846388863921,2.6236335491280585,14.247612873681707,0.0
0,8.961999999999662,10.296411295067209,10.576660250495564,4.590177284824071,2.7539627484897213,14.327019163091968,0.0
0,8.963999999999663,10.305531735975913,10.5822979741825,4.530016586506071,2.883654888164564,14.41825789402775,0.0
0,8.965999999999664,10.314530379733904,10.5881944466517,4.468383441894381,3.012712003967911,14.521442101324109,0.0
0,8.967999999999664,10.323404301748425,10.594348401238282,4.405298374143103,3.1411377520317045,14.63670007123333,0.0
0,8.969999999999665,10.332150619788766,10.600758580241866,4.340783209859298,3.2689374469490646,14.76417545353113,0.0
0,8.971999999999666,10.340766496518144,10.60742373828028,4.274861003430834,3.396118098281997,14.904027368066103,0.0
0,8.973999999999666,10.349249141870441,10.614342645714688,4.2075559575952814,3.5226884455054552,15.056430510196593,0.0
0,8.975999999999667,10.357595815264498,10.621514092143123,4.13889334046518,3.648658991476821,15.221575259915834,0.0
0,8.977999999999668,10.365803827649113,10.628936889959578,4.068899399242376,3.7740420345366688,15.399667799802323,0.0
0,8.979999999999668,10.373870543372364,10.636609877976012,3.9976012708697324,3.898851699364279,15.590930247247513,0.0
0,8.981999999999669,10.38179338186938,10.644531925104962,3.925026889882151,4.023103966729657,15.795600806706926,0.0
0,8.98399999999967,10.389569819163249,10.652701934100673,3.851204893730268,4.146816702302697,16.01393394799429,0.0
0,8.98599999999967,10.397197389174279,10.661118845357048,3.7761645258591927,4.270009684699456,16.246200616892263,0.0
0,8.987999999999671,10.40467368483341,10.669781640761112,3.6999355368311195,4.392704632965183,16.492688484589785,0.0
