episode,time,sin_theta1,cos_theta1,sin_theta2,cos_theta2,omega1,omega2
2,9.785999999999936,0.2856435883207242,-0.9583359225507831,0.7690076441097629,-0.639239582082299,4.2082994712855,-2.515455877131899
2,9.787999999999938,0.27757709850233986,-0.9607033644091304,0.7722707293193597,-0.6352935704353888,4.198227304044849,-2.6048675441716114
2,9.78999999999994,0.2695108214949902,-0.9629973608983026,0.7756263179366835,-0.6311923755274479,4.187718941579988,-2.6940656265046528
2,9.79199999999994,0.26144628633902917,-0.9652180268517214,0.7790718464704903,-0.626934652126568,4.176797258256556,-2.783044359321593
2,9.79399999999994,0.2533849775991156,-0.9673655219859222,0.7826046589364941,-0.6225190340952585,4.165485279035693,-2.8717984004920254
2,9.79599999999994,0.24532833397848522,-0.9694400489701984,0.786222006923925,-0.6179441364949713,4.153806158299631,-2.9603228543955993
2,9.79799999999994,0.23727774702779406,-0.9714418514586523,0.7899210496900861,-0.6132085577163062,4.141783158421731,-3.048613295818541
2,9.799999999999942,0.22923455995000544,-0.9733712120894717,0.7936988542823249,-0.6083108816311975,4.129439628242835,-3.1366657939038305
2,9.801999999999945,0.22120006650244287,-0.9752284504562584,0.7975523956865382,-0.6032496797634156,4.116798981433476,-3.224476936051815
2,9.803999999999943,0.2131755099968573,-0.9770139210561842,0.8014785570010259,-0.5980235134738042,4.103884674840629,-3.3120438516889408
2,9.805999999999944,0.20516208239789385,-0.9787280112197463,0.8054741296342025,-0.5926309361567484,4.090720186972703,-3.3993642359096157
2,9.807999999999945,0.197160923520063,-0.9803711390268054,0.809535813524367,-0.587070495444492,4.07732899661778,-3.4864363728747776
2,9.809999999999944,0.18917312032297,-0.9819437512135158,0.813660217379422,-0.5813407354160481,4.063734561699221,-3.5732591588994183
2,9.811999999999946,0.18119970630412943,-0.9834463210746671,0.8178438589341307,-0.5754401988075996,4.049960298509177,-3.6598321252404276
2,9.813999999999949,0.17324166098846902,-0.9848793463658158,0.82208316522219,-0.5693674292214698,4.036029561344549,-3.7461554604656158
2,9.815999999999947,0.16529990951316395,-0.9862433472094703,0.8263744728601098,-0.5631209733309315,4.021965622642256,-3.832230032361167
2,9.817999999999948,0.15737532230620785,-0.9875388640094207,0.8307140283395904,-0.5566993830783452,4.007791653749791,-3.9180574094011718
2,9.819999999999949,0.14946871485676516,-0.9887664553771366,0.8350979883248247,-0.5501012178643407,3.9935307063597065,-4.003639881678737
2,9.82199999999995,0.1415808475750855,-0.9899266960739671,0.8395224199508687,-0.5433250467260249,3.9792056946967023,-4.08898048127503
2,9.82399999999995,0.13371242573939737,-0.9910201749726825,0.8439833011189833,-0.5363694505024532,3.964839378565557,-4.1740830020785324
